name,format,description
CNN Factored sEMG Based Limb Angle Prediction on the Edge - Advancing Model Predictive Control of Robotic Rehabilitative Systems,Poster Discussion,"Robotic rehabilitative systems promise to revolutionize the future of stroke rehabilitation. Controlling motors to allow the patient to move at their will during parts of the motion that they don’t require assistance is important for effective rehabilitation, especially at the later stages of therapy. 

However contemporary rehabilitative systems use a force-based feedback system that provides a small resistance to the motion as the system adapts only after the interaction between the patient and the machine. However, if the motion is predicted in advance, and further engineered in the rehabilitative system, these small resistive experiences are unfelt. 
Considering the critical method of usage and vulnerable segment of users, prediction on the edge to satisfy timing becomes imperative, besides running the process on constrained resources is expected. As a step towards this model predictive control approach, this paper proposes a limb angle prediction strategy based on surface Electromyography (sEMG) signals. The proposed strategy that is established from Convolutional Neural Network (CNN) is demonstrated and validated on the edge for upper limb bicep flexion and extension movement. 
The paper measures the impact of various design parameters on the implementation of the system and its relations to prediction accuracy, prediction time and resource requirement on the edge. A dataset comprising of sensory systems employed, and prediction models are made freely available for easy adoption and further usage to the researchers and designers community."
GAMLNet: A Graph Based Framework for the Detection of Money Laundering,Poster Discussion,"The accuracy of classification algorithms in detecting fraudulent financial activity is critical in assisting human analysts in the task of preventing financial crime. 
We consider financial transactions in the form of a directed graph and propose a Graph Neural Network (GNN) model for the identification of money laundering activity. Our method generates a set of structurally aware and statistically significant features for each graph node and utilizes them as input to the GNN classifier, that comprises of the combination of the layers of two recently proposed message-passing architectures. 
The effectiveness of our approach is demonstrated in experiments with synthetic data that simulate real-world behavior and are infused with seven anomalous money laundering topologies. The accuracy of our method is consistently higher than that of other GNNs and tree-based classification methods over datasets of increasing size and increasing imbalance between the fraudulent and benign classes."
Harnessing the Power of Forecasting: Best Practices & Use Cases,2 Business,"Forecasting is essential for business strategy, supply chain optimization, financial planning and more. Our presentation will showcase best practices in forecasting, drawing from our work with clients in the retail, pharma, and energy sectors. We’ll demonstrate how accurate forecasting can improve business, offering insights into the tools and techniques that enable us to predict and prepare for the future effectively. Join us to learn how to harness forecasting for your company’s competitive edge."
EdgeAI: Innovating at the Intersection of AI and Embedded Devices,2 Business,"In today's rapidly evolving technological landscape where Large Models are revolutionizing AI, EdgeAI emerges as the alternative opportunity to embed artificial intelligence directly into devices. This approach has several advantages over Large Models and, generally, cloud-based models: 
- Lower costs;  
- Lower delays and real-time inference;  
- Lower energy consumption (less computational power requires less energy);  
- Absolute privacy: data isn’t transferred over a network, it remains in a closed loop;  
- Problems are likely contained within a single device since it is decentralized, allowing for predominantly local but easier maintenance;  
- Thanks to the fast evolution of hardware capabilities, nowadays performances are comparable to those of large servers.  

However, the journey to harnessing the full potential of EdgeAI is not without challenges. Importing neural networks (NNs) onto embedded devices requires meticulous optimization to ensure efficient operation within hardware constraints. Processes such as distillation, pruning, and quantization play pivotal roles in tailoring NNs for embedded deployment, mitigating the performance gap while adapting to diverse device requirements. Furthermore, addressing hardware dependency is essential for ensuring cross-platform compatibility. 

To address optimization challenges in EdgeAI, Artificialy has implemented several key processes. First, distillation enables the creation of a more portable model by mimicking the results of a stronger teacher network, ensuring trustworthiness. Pruning further streamlines neural networks by removing branches and redistributing weights, optimizing efficiency. Additionally, training-aware quantization accounts for potential approximation by converting floating points to integers, enhancing performance while operating within hardware constraints. 

EdgeAI is essential when constant, real-time monitoring is required, such as in automotive, smart cities, or industrial automation. It also greatly benefits all applications that require maintaining high levels of privacy or confidentiality, since all data remains on the device. 

In our presentation we’ll show how we narrowed the gap between starting point and result, despite the great reduction in computational power. We will also review our case histories, with data on how many operations were avoided while maintaining same or very close accuracy in results of NNs on EDs vs. Servers. In particular, a Smart City solution developed with Sony for their IMX500 cameras, and a driver monitoring system that recognizes fatigue and distractions at the wheel, processing 30 FPS on NXP i.MX 8 Plus. 

Our team at Artificialy, doesn't just excel in EdgeAI; we're at the forefront of innovation across a spectrum of AI technologies: whether it's computer vision, forecasting and time series analysis, NLP, or process optimization, we’re proud to have proof of our expertise in the full gamut of AI applications. Since 2020, our exceptional team of data scientists and engineers delivers tailor-made solutions to businesses and institutions, spanning diverse domains. From pioneering EdgeAI solutions with Sony to revolutionizing manufacturing optimization built in Bystronic’s machines, all the way to our newly launched on-premise product PrivateGPT, we support our client’s needs from the assessment phase through to solution design, coding, packaging and scaled industrialization."
Crossing the Chasm Between Data Pilots and the Implementation of Data Products,2 Business,"[at] consults companies along their entire digital transformation journey: from the development of a data strategy to the optimization of AI and analytics applications, to the implementation of data products, and to regular operations. Let’s have a closer look at how we enable customers to make the decisive step from a data pilot to the implementation of a true data product in their organization."
Navigating Frontify's Journey to an AI-Ready Modern Data Stack,2 Business,"Join Michal, Frontify's Head of Data, as he shares their journey towards a modern data stack geared for AI integration. Facing an outdated infrastructure, Frontify adopted Fivetran, Snowflake, dbt, and ThoughtSpot to streamline operations. Learn how this stack accelerates data access, empowers dashboard creation, and liberates the team from manual tasks. Dive into the practicalities, including Snowflake Cortex for forecasting, and discover the transformative potential of a modern data infrastructure."
Driving Business Impact From Data,1 Leaders,"In this talk, we will share how together with our business partners, we identify, develop, and deliver data-driven use cases across the Migros Group. The talk will cover i) the strategic and structural context in which we operate, ii) outline the enabling and technological foundation that we are putting in place and iii) articulate with concrete examples our approach to value creation. Key takeaways of this talk include creating the data-driven impact roadmap, building the talent runway and scaling-up impact."
Increasing Trust in ML for Engineering With Explainable AI,2 Business,"Brückner Maschinenbau is the leading supplier of film-stretching machines in the world. Their machines produce film for a broad range of applications (e.g. food packaging etc.), by transforming raw polymer material (plastic) into extremely thin polymer film, with a throughput of several tons per hour. The produced film must meet certain optical, thermal, and mechanical quality metrics currently measured in a lab after production. This delayed feedback can cause a large amount of waste if quality metrics are not met. Furthermore, for polyethylene (PE, considered as the materiel of the future due to its recyclability in film stretching) the causal relationship between machine settings and film quality metrics are not yet fully understood. Thus, development of new film products may lead to a costly trial and error search until optimal machine settings are found. Thus, an AI based system is desired to predict the quality of the film given machine settings and materials used, during or even before production. 

Together with Brückner Maschinenbau, Zühlke built an ML model that predicts certain quality metrics of PE-film products using machine settings and material properties as features. Furthermore, we go beyond the standard ML workflow and ML methods by employing explainable AI techniques to shed light into the relationships between machine settings and predicted film quality. The gained understanding of model behavior enabled feedback from domain experts to further improve ML models and increased their trust in ML models. Moreover, Explainable AI can create data-driven insights about the stretching process and can guide product developers and machine operators towards optimal machine settings.  

The usage of Shapley values to explain model predictions will be the focus of our talk, as we are convinced that this will be of great interest to many data scientists in the audience. Explainable AI methods, such as Shapley values, explain how the input to a model affects the output of a model. Such methods are commonly used by data scientists to provide transparency into models and increase trust in AI, and further to address important societal challenges like AI fairness and the EU’s right to explanation. In this project, we use Shapley values to better understand the stretching process, and to potentially guide product development. However, to detect insights about the stretching process (i.e., which change in machine settings leads to better film quality) one must be cautious. ML models are based on correlation, and explainability methods like SHAP can be misleading when features are correlated. We use an heuristic approach inspired by ideas from recent research (including the causality graph of the stretching process and conditional probability distributions of the data) to make Shapley values more likely to discover insights about the stretching process that can be used optimize film quality. 

Our talk highlights how Shapley values can increase trust in AI and provides an overview of relevant methods as well as in-depth insights for data science practitioners."
Shaping Pharma Data and Analytics Strategy,1 Leaders,"Legacy data systems and siloed analytics capabilities hinder innovation within the pharma commercial sector. This presentation details Roche's journey in establishing a centralized, cloud-based data and analytics platform. 
The focus is on the strategic decommissioning of legacy systems, enabling business intelligence and machine learning use cases to accelerate business impact. The talk highlights the critical interplay of people, processes, and technology, offering a blueprint for successful cloud migration and data-driven transformation."
GenAI: Developing and Deploying a Specialized Underwriting AI Assistant,2 Business,"Reinsurance companies provide expert medical and underwriting knowledge to insurance companies by distributing Underwriting Manuals. Swiss Re's manual, Life Guide, receives over 23 million hits per year from Life & Health Underwriters (UWs). It provides them with guidance to review a Life or Health insurance application, helping them understand and translate risk into rating adjustments for each individual applicant. Taking the right decision in a timely manner becomes a challenge due to the vast diversity in medical records, history, and profiles of the applicants. In this talk, we present a novel add-on to Life Guide that provides the ability to interact in a human-like fashion, akin to having a specialized assistant by one's side. We cover the major steps needed for creating such a system: from development all the way to productization. To our knowledge it is the first attempt to integrate an advanced chat interface with an underwriting manual in front of UWs for actual decision making.

We start by describing the core of our solution made of a Retrieval-Augmented Generation (RAG) system leveraging state-of-the-art Large Language Model (LLM), namely GPT-4. A crucial first step consists in properly understanding and structuring the Underwriting Manual. This enables us to implement a precise chunking strategy whereby the Manual is split into text chunks and finally embedded into a vector space and stored for later retrieval. We then showcase our information retrieval system used to bring relevant context to the LLM for the final generation of an answer. We give the rationale behind our technical choices and address the specific case of tabular data. 

In a second stage, we cover the actual deployment of the solution in front of underwriters. More than the description of a robust production setup, we present our attempts at solving issues specifically related to the use of the RAG technology: adapting to changing LLM versions over time, availability, cost, and latency optimization as well as text chunks management. Besides engineering aspects, we also describe our attempt at creating a trust-inducing User Experience and User Interface despite the hallucinatory nature of LLMs. 

From there, we tackle the issue of evaluating our system. We suggest and report on qualitative assessments as well as quantitative metrics gathered from exposing the application to Swiss Re UWs. For instance, we reached a top-5 accuracy of over 90% in the information retrieval step on so-called information pages of the manual.

We finally take a step back to examine the potential impacts of such a system on underwriting practices. We argue that this new interface with Underwriting Manuals has the potential to redefine how UWs interact with them. We also emphasize the importance of mitigating known limitations of LLMs thanks to all available means: from proper evaluation methodologies all the way to User Interfaces and User Experiences."
